GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyProject,default,ElementDeGrilleImplAsChar,0,39,0,8,0,11,0,8,0,4
MyProject,default,GrilleImpl,0,411,0,74,0,62,0,46,0,9
MyProject,default,GrilleParser,18,137,6,18,4,27,6,7,0,1
